Time (s), Position x 1 (m), Position y 1 (m), Position x 2 (m), Position y 2 (m)
0, 0, 200, 0, 200
0.1, 2.5, 199.951, 1.25, 199.951
0.2, 7.5, 199.804, 3.75, 199.804
0.3, 12.5, 199.559, 6.25, 199.559
0.4, 17.5, 199.216, 8.75, 199.216
0.5, 22.5, 198.775, 11.25, 198.775
0.6, 27.5, 198.236, 13.75, 198.236
0.7, 32.5, 197.599, 16.25, 197.599
0.8, 37.5, 196.864, 18.75, 196.864
0.9, 42.5, 196.031, 21.25, 196.031
1, 47.5, 195.1, 23.75, 195.1
1.1, 52.5, 194.071, 26.25, 194.071
1.2, 57.5, 192.944, 28.75, 192.944
1.3, 62.5, 191.719, 31.25, 191.719
1.4, 67.5, 190.396, 33.75, 190.396
1.5, 72.5, 188.975, 36.25, 188.975
1.6, 77.5, 187.456, 38.75, 187.456
1.7, 82.5, 185.839, 41.25, 185.839
1.8, 87.5, 184.124, 43.75, 184.124
1.9, 92.5, 182.311, 46.25, 182.311
2, 97.5, 180.4, 48.75, 180.4
2.1, 102.5, 178.391, 51.25, 178.391
2.2, 107.5, 176.284, 53.75, 176.284
2.3, 112.5, 174.079, 56.25, 174.079
2.4, 117.5, 171.776, 58.75, 171.776
2.5, 122.5, 169.375, 61.25, 169.375
2.6, 127.5, 166.876, 63.75, 166.876
2.7, 132.5, 164.279, 66.25, 164.279
2.8, 137.5, 161.584, 68.75, 161.584
2.9, 142.5, 158.791, 71.25, 158.791
3, 147.5, 155.9, 73.75, 155.9
3.1, 152.5, 152.911, 76.25, 152.911
3.2, 157.5, 149.824, 78.75, 149.824
3.3, 162.5, 146.639, 81.25, 146.639
3.4, 167.5, 143.356, 83.75, 143.356
3.5, 172.5, 139.975, 86.25, 139.975
3.6, 177.5, 136.496, 88.75, 136.496
3.7, 182.5, 132.919, 91.25, 132.919
3.8, 187.5, 129.244, 93.75, 129.244
3.9, 192.5, 125.471, 96.25, 125.471
4, 197.5, 121.6, 98.75, 121.6
4.1, 202.5, 117.631, 101.25, 117.631
4.2, 207.5, 113.564, 103.75, 113.564
4.3, 212.5, 109.399, 106.25, 109.399
4.4, 217.5, 105.136, 108.75, 105.136
4.5, 222.5, 100.775, 111.25, 100.775
4.6, 227.5, 96.316, 113.75, 96.316
4.7, 232.5, 91.759, 116.25, 91.759
4.8, 237.5, 87.104, 118.75, 87.104
4.9, 242.5, 82.351, 121.25, 82.351
5, 247.5, 77.5, 123.75, 77.5
5.1, 252.5, 72.551, 126.25, 72.551
5.2, 257.5, 67.504, 128.75, 67.504
5.3, 262.5, 62.359, 131.25, 62.359
5.4, 267.5, 57.116, 133.75, 57.116
5.5, 272.5, 51.775, 136.25, 51.775
5.6, 277.5, 46.336, 138.75, 46.336
5.7, 282.5, 40.799, 141.25, 40.799
5.8, 287.5, 35.164, 143.75, 35.164
5.9, 292.5, 29.431, 146.25, 29.431
6, 297.5, 23.6, 148.75, 23.6
6.1, 302.5, 17.671, 151.25, 17.671
6.2, 307.5, 11.644, 153.75, 11.644
6.3, 312.5, 5.519, 156.25, 5.519
6.4, 317.5, -0.704, 158.75, -0.704
