Time (s), Position x 1 (m), Position y 1 (m), Position x 2 (m), Position y 2 (m)
0, 0, 200, 0, 200
0.1, 2.5, 199.951, 1.25, 199.951
0.2, 7.5, 199.804, 3.75, 199.804
0.3, 12.45, 199.559, 6.225, 199.559
0.4, 17.3, 199.216, 8.65, 199.216
0.5, 22.05, 198.775, 11.025, 198.775
0.6, 26.7, 198.236, 13.35, 198.236
0.7, 31.25, 197.599, 15.625, 197.599
0.8, 35.7, 196.864, 17.85, 196.864
0.9, 40.05, 196.031, 20.025, 196.031
1, 44.3, 195.1, 22.15, 195.1
1.1, 48.45, 194.071, 24.225, 194.071
1.2, 52.5, 192.944, 26.25, 192.944
1.3, 56.45, 191.719, 28.225, 191.719
1.4, 60.3, 190.396, 30.15, 190.396
1.5, 64.05, 188.975, 32.025, 188.975
1.6, 67.7, 187.456, 33.85, 187.456
1.7, 71.25, 185.839, 35.625, 185.839
1.8, 74.7, 184.124, 37.35, 184.124
1.9, 78.05, 182.311, 39.025, 182.311
2, 81.3, 180.4, 40.65, 180.4
2.1, 84.45, 178.391, 42.225, 178.391
2.2, 87.5, 176.284, 43.75, 176.284
2.3, 90.45, 174.079, 45.225, 174.079
2.4, 93.3, 171.776, 46.65, 171.776
2.5, 96.05, 169.375, 48.025, 169.375
2.6, 98.7, 166.876, 49.35, 166.876
2.7, 101.25, 164.279, 50.625, 164.279
2.8, 103.7, 161.584, 51.85, 161.584
2.9, 106.05, 158.791, 53.025, 158.791
3, 108.3, 155.9, 54.15, 155.9
3.1, 110.45, 152.911, 55.225, 152.911
3.2, 112.5, 149.824, 56.25, 149.824
3.3, 114.45, 146.639, 57.225, 146.639
3.4, 116.3, 143.356, 58.15, 143.356
3.5, 118.05, 139.975, 59.025, 139.975
3.6, 119.7, 136.496, 59.85, 136.496
3.7, 121.25, 132.919, 60.625, 132.919
3.8, 122.7, 129.244, 61.35, 129.244
3.9, 124.05, 125.471, 62.025, 125.471
4, 125.3, 121.6, 62.65, 121.6
4.1, 126.45, 117.631, 63.225, 117.631
4.2, 127.5, 113.564, 63.75, 113.564
4.3, 128.45, 109.399, 64.225, 109.399
4.4, 129.3, 105.136, 64.65, 105.136
4.5, 130.05, 100.775, 65.025, 100.775
4.6, 130.7, 96.316, 65.35, 96.316
4.7, 131.25, 91.759, 65.625, 91.759
4.8, 131.7, 87.104, 65.85, 87.104
4.9, 132.05, 82.351, 66.025, 82.351
5, 132.3, 77.5, 66.15, 77.5
5.1, 132.45, 72.551, 66.225, 72.551
5.2, 132.5, 67.504, 66.25, 67.504
5.3, 132.45, 62.359, 66.225, 62.359
5.4, 132.3, 57.116, 66.15, 57.116
5.5, 132.05, 51.775, 66.025, 51.775
5.6, 131.7, 46.336, 65.85, 46.336
5.7, 131.25, 40.799, 65.625, 40.799
5.8, 130.7, 35.164, 65.35, 35.164
5.9, 130.05, 29.431, 65.025, 29.431
6, 129.3, 23.6, 64.65, 23.6
6.1, 128.45, 17.671, 64.225, 17.671
6.2, 127.5, 11.644, 63.75, 11.644
6.3, 126.45, 5.519, 63.225, 5.519
6.4, 125.3, -0.704, 62.65, -0.704
