Time (s), Force (N), Accel. (m/s2), Velocity (m/s), Position (m)
0,500,2.5,0,0
0.5,500,2.5,1.25,0.9375
1,500,2.5,2.5,2.5
1.5,500,2.5,3.75,4.6875
2,500,2.5,5,7.5
2.5,500,2.5,6.25,10.9375
3,500,2.5,7.5,15
3.5,500,2.5,8.75,19.6875
4,500,2.5,10,25
4.5,500,2.5,11.25,30.9375
5,500,2.5,12.5,37.5
5.5,0,0,13.75,44.6875
6,0,0,13.75,51.5625
6.5,0,0,13.75,58.4375
7,0,0,13.75,65.3125
7.5,0,0,13.75,72.1875
8,0,0,13.75,79.0625
8.5,0,0,13.75,85.9375
9,0,0,13.75,92.8125
9.5,0,0,13.75,99.6875
10,-625,-3.125,13.75,106.563
10.5,-625,-3.125,12.1875,112.266
11,-625,-3.125,10.625,117.188
11.5,-625,-3.125,9.0625,121.328
12,-625,-3.125,7.5,124.688
12.5,-625,-3.125,5.9375,127.266
13,-625,-3.125,4.375,129.063
13.5,-625,-3.125,2.8125,130.078
14,-625,-3.125,1.25,130.313
14.5,0,0,0,130.313
15,0,0,0,130.313
